species_code,site_code,id,x,y,genus,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,min.minT,max.maxT,aet,pet,aet.pet.ratio,not.hot.precip
LIBI,NEWZ072,5364,175.43,-39.23,Libocedrus,bidwillii,9.115809441,8.922578812,0.462070405,0.01228042,19.70000076,0.389999986,19.30999947,4.839033127,12.97021961,13.65583992,4.73357296,2275,53.99089813,27.42180061,0.163641199,678.2769165,445.2185974,456.372406,676.9537964,130.7707062,193.1629944,62.88130188,0.351258487,72.29705048,158.9008026,178.9468994,76.82327271,1.306339025,1.451956034,1.091629982,0.079823293,1.431694031,1.170034051,1.171216011,1.42987299,3,197,66.5962166,876,0.076023078,1818.627594
LIBI,NEWZ073,5365,175.43,-39.23,Libocedrus,bidwillii,9.115809441,8.922578812,0.462070405,0.01228042,19.70000076,0.389999986,19.30999947,4.839033127,12.97021961,13.65583992,4.73357296,2275,53.99089813,27.42180061,0.163641199,678.2769165,445.2185974,456.372406,676.9537964,130.7707062,193.1629944,62.88130188,0.351258487,72.29705048,158.9008026,178.9468994,76.82327271,1.306339025,1.451956034,1.091629982,0.079823293,1.431694031,1.170034051,1.171216011,1.42987299,3,197,66.5962166,876,0.076023078,1818.627594
LIBI,NEWZ074,5366,175.43,-39.23,Libocedrus,bidwillii,9.115809441,8.922578812,0.462070405,0.01228042,19.70000076,0.389999986,19.30999947,4.839033127,12.97021961,13.65583992,4.73357296,2275,53.99089813,27.42180061,0.163641199,678.2769165,445.2185974,456.372406,676.9537964,130.7707062,193.1629944,62.88130188,0.351258487,72.29705048,158.9008026,178.9468994,76.82327271,1.306339025,1.451956034,1.091629982,0.079823293,1.431694031,1.170034051,1.171216011,1.42987299,3,197,66.5962166,876,0.076023078,1818.627594
LIBI,NEWZ075,5378,171.28,-43.07,Libocedrus,bidwillii,5.692655087,9.164340973,0.448792398,0.01360699,16.70000076,-3.720000029,20.42000008,5.124533176,9.728908539,10.53433037,0.734937727,3070,70.16760254,36.65280151,0.124627203,867.5332031,637.8583984,660.4675903,770.9226074,129.1221008,193.1690063,57.75059891,0.385485411,150.7252045,156.5379944,182.9644012,68.33986664,1.461390018,1.574120998,1.189896941,0.063589811,1.547119975,1.326581001,1.333011031,1.502490997,-38,167,46.59408991,672,0.069336443,2409.53241
AGAU,NEWZ078,8489,173.75,-35.18,Agathis,australis,14.78281975,7.83596611,0.478178889,0.009955515,23.70000076,7.312900066,16.38710022,11.36520958,17.66110992,18.62302017,11.25949955,1911,50.00040054,26.78779984,0.207172796,624.3101807,369.6575012,384.7287903,616.0598145,138.0973969,192.8390045,77.51609802,0.292482197,88.63818359,188.5447998,173.2557068,94.54141235,1.22716105,1.407657027,1.066069007,0.091114119,1.383430958,1.093503952,1.110798955,1.374546051,73,237,81.69062522,983,0.083103383,1526.27121
AGAU,NEWZ079,8490,173.73,-35.27,Agathis,australis,14.78281975,7.83596611,0.478178889,0.009955515,23.70000076,7.312900066,16.38710022,11.36520958,17.66110992,18.62302017,11.25949955,1911,50.00040054,26.78779984,0.207172796,624.3101807,369.6575012,384.7287903,616.0598145,138.0973969,192.8390045,77.51609802,0.292482197,88.63818359,188.5447998,173.2557068,94.54141235,1.22716105,1.407657027,1.066069007,0.091114119,1.383430958,1.093503952,1.110798955,1.374546051,73,237,81.69062522,983,0.083103383,1526.27121
AGAU,NEWZ080,8533,173.57,-35.65,Agathis,australis,13.5906601,7.784834862,0.472177386,0.01019395,22.60000038,6.11289978,16.4871006,10.07042027,17.09322929,17.47730064,9.971042633,2083,56.51689911,26.81940079,0.240882903,703.1613159,378.7954102,390.7533875,693.4215698,137.0171051,192.1869965,75.40969849,0.299101889,86.92276764,185.9947968,173.1652985,93.03549194,1.264485002,1.474555969,1.07310605,0.103516199,1.446320057,1.105846047,1.120444059,1.436722994,61,226,79.87000893,995,0.080271366,1692.246613
AGAU,NEWZ081,8491,173.28,-35.37,Agathis,australis,14.87905025,7.693925858,0.477883607,0.009736386,23.70000076,7.599999905,16.10000038,11.5485096,18.44487,18.6453495,11.44279957,1762,46.92710114,23.01860046,0.235939398,590.7056274,320.3468933,325.751709,583.1812744,139.1858978,194.197998,77.66100311,0.292291909,89.31208038,185.8468933,175.544693,95.40283203,1.197389007,1.375254035,1.026976943,0.09684696,1.35601294,1.052947044,1.062150002,1.347929001,76,237,81.5209203,972,0.08386926,1436.248291
AGAU,NEWZ082,8507,174.53,-36.88,Agathis,australis,14.47756004,8.029069901,0.466543913,0.01055871,23.5,6.29031992,17.20968056,10.71329975,18.45756912,18.47294998,10.66429043,1290,32.77190018,17.73509979,0.178849503,406.3645935,258.2695923,259.0202942,403.7258911,138.7559052,198.6159973,73.10289764,0.314755112,85.52047729,182.6658936,178.2666016,88.2782135,1.094604015,1.23161304,0.922101974,0.084336273,1.212612987,0.973005772,0.97796011,1.209167957,62,235,75.46369362,973,0.077557753,1030.979706
AGAU,NEWZ083,8531,175.43,-36.2,Agathis,australis,14.92761993,8.396523476,0.479535997,0.01063417,24,6.490320206,17.50967979,11.15793991,18.36655998,18.96079063,11.10682011,2018,54.53749847,27.7628994,0.219202295,657.1575928,374.2998047,417.1271973,655.9310303,139.1128998,198.2160034,73.8844986,0.312931508,86.1484375,193.1103058,182.6761932,88.86269379,1.235059023,1.44303,1.06971395,0.09802933,1.398707986,1.080654979,1.116750002,1.396769047,64,240,86.64844474,1007,0.086046122,1600.872803
AGAU,NEWZ084,8508,174.5,-36.82,Agathis,australis,14.87782955,7.996244907,0.467352092,0.01042409,23.79999924,6.690320015,17.10968018,11.14595032,18.59700012,18.8281002,11.10264969,1311,33.88669968,18.19930077,0.199848503,421.1467896,252.0388947,255.8634949,419.1625977,138.7236938,197.9089966,73.48449707,0.312514991,85.90032196,188.9720001,177.7256927,88.66472626,1.102278948,1.244562984,0.939512014,0.086533308,1.22468102,0.976116002,0.984726608,1.221873999,66,238,74.87771271,982,0.076250217,1055.136505
AGAU,NEWZ085,8484,174.57,-36.97,Agathis,australis,14.47756004,8.029069901,0.466543913,0.01055871,23.5,6.29031992,17.20968056,10.71329975,18.45756912,18.47294998,10.66429043,1290,32.77190018,17.73509979,0.178849503,406.3645935,258.2695923,259.0202942,403.7258911,138.7559052,198.6159973,73.10289764,0.314755112,85.52047729,182.6658936,178.2666016,88.2782135,1.094604015,1.23161304,0.922101974,0.084336273,1.212612987,0.973005772,0.97796011,1.209167957,62,235,75.46369362,973,0.077557753,1030.979706
AGAU,NEWZ086,8486,175.13,-36.2,Agathis,australis,14.92761993,8.396523476,0.479535997,0.01063417,24,6.490320206,17.50967979,11.15793991,18.36655998,18.96079063,11.10682011,2018,54.53749847,27.7628994,0.219202295,657.1575928,374.2998047,417.1271973,655.9310303,139.1128998,198.2160034,73.8844986,0.312931508,86.1484375,193.1103058,182.6761932,88.86269379,1.235059023,1.44303,1.06971395,0.09802933,1.398707986,1.080654979,1.116750002,1.396769047,64,240,86.64844474,1007,0.086046122,1600.872803
AGAU,NEWZ087,8500,174.92,-37.92,Agathis,australis,13.3767004,8.911215782,0.474000812,0.01111951,23.20000076,4.400000095,18.79999924,9.42156601,17.5335598,17.5335598,9.328266144,1810,45.34220123,23.73089981,0.184372798,564.7988892,348.9403076,348.9403076,560.9788208,133.8865967,194.3589935,67.63159943,0.330277801,77.71881866,179.2525024,179.2525024,82.33299255,1.200505972,1.355281949,1.035866976,0.084145583,1.331984043,1.069216967,1.069965005,1.327429056,43,232,73.47953558,920,0.07986906,1461.059692
AGAU,NEWZ088,8487,175.55,-36.9,Agathis,australis,14.33096981,8.621358871,0.478706986,0.01095835,23.70000076,5.690320015,18.00967979,10.38467026,17.58864975,18.46750069,10.38467026,2211,56.88809967,32.30989838,0.198064402,708.2791138,427.4067993,458.0971985,708.2791138,138.6506958,197.4859924,73.25650024,0.315337598,88.00309753,193.2106934,182.5460968,88.00309753,1.270234942,1.467718959,1.097380042,0.096791841,1.438434005,1.117308974,1.144224048,1.437934041,56,237,83.0534433,999,0.08313658,1752.902802
AGAU,NEWZ089,8532,175.03,-36.22,Agathis,australis,15.25294971,8.080446243,0.47227329,0.01045323,24.10000038,6.990320206,17.10968018,11.52766991,17.97625923,19.21426964,11.47480965,1470,39.50830078,22.35210037,0.196604595,476.2062988,294.8641052,311.0711975,474.5338135,140.2317047,199.9839935,74.79160309,0.310180813,87.51351929,194.6354065,179.0818939,90.28981781,1.130709052,1.294891953,1.010756016,0.082149953,1.261330009,1.021371961,1.040393949,1.258934975,69,241,78.24741754,992,0.078878445,1158.928802
